age,type_employer,fnlwgt
34,Private,97306
54,Private,35459
33,Self-emp-not-inc,182556
22,Federal-gov,65547
52,Private,234286
17,Private,137042
75,?,260543
27,Private,114158
25,Private,126974
19,?,242001
34,Private,261418
39,?,265685
34,Self-emp-inc,186824
19,Private,181652
17,Private,127366
53,Private,30846
41,Self-emp-not-inc,27305
47,Private,347088
38,Private,125550
28,Private,185127
57,Private,36091
53,Private,56213
45,State-gov,154117
60,Self-emp-inc,328011
31,Private,238002
49,Private,28171
54,Private,145714
36,Private,588739
24,Private,227070
31,Private,176969
31,Private,364657
22,Private,311376
40,Local-gov,269168
39,?,362685
48,Private,107373
56,Local-gov,203250
21,Private,189749
49,Local-gov,199862
46,State-gov,56841
64,Local-gov,244903
58,Private,66788
17,Private,226717
46,Private,140782
66,Self-emp-not-inc,37170
27,Private,216858
45,Private,204205
33,Private,265168
57,Private,186361
35,Private,162358
29,Private,221428
20,?,162667
44,Private,151504
42,Local-gov,281315
27,Private,156266
37,Private,116358
61,Private,477209
37,Local-gov,34173
26,Private,109457
45,Private,201865
28,?,149646
90,?,77053
45,Self-emp-inc,188330
50,Private,241648
46,Private,278322
17,Private,166242
31,Private,213002
30,Private,190385
40,Private,122215
82,?,42435
55,Private,144084
42,Private,70055
24,Private,461678
44,Private,122381
29,Private,192384
56,Private,246687
51,Private,122288
18,Private,192409
27,Private,29261
32,State-gov,443546
42,Federal-gov,177142
33,Private,231826
22,Private,238917
51,Self-emp-inc,114674
50,Self-emp-inc,160107
27,Private,369522
34,Private,108116
35,Private,270059
56,Private,226985
49,Private,116338
44,Private,194924
41,Private,180138
25,Private,190107
35,Private,184655
24,Private,176321
35,Private,195946
43,Private,135606
23,Private,151888
27,Private,29261
20,Private,420973
29,Private,185386
28,Private,30912
49,Self-emp-not-inc,56841
42,Private,199018
38,Private,166988
50,Self-emp-not-inc,83311
69,Private,177374
22,Private,303822
57,?,366563
53,Federal-gov,109982
33,Private,261511
33,State-gov,150688
66,?,28367
37,Private,163199
47,Private,201699
47,Private,454989
39,Private,382802
41,Private,139126
21,?,156780
47,Private,44671
42,Self-emp-not-inc,174216
20,Private,213719
57,Private,340591
35,Private,140752
40,Private,233320
17,Private,151799
20,Private,174391
57,Self-emp-inc,125000
42,Self-emp-inc,198282
49,Local-gov,219021
73,Self-emp-not-inc,110102
63,?,133166
40,Local-gov,157240
57,Private,154368
66,Private,115498
60,Private,224097
22,Private,125542
33,State-gov,121245
46,State-gov,55377
42,Self-emp-inc,369781
45,Local-gov,324550
50,Self-emp-not-inc,172281
27,Private,492263
44,Private,105936
48,Private,238360
33,Private,182423
48,State-gov,104542
60,Self-emp-not-inc,146674
23,Private,180339
44,Private,172364
32,?,199046
47,Local-gov,172246
66,Private,386120
21,Private,228326
25,Private,90752
33,Local-gov,152351
30,Private,110643
26,Private,136309
25,Private,120450
24,Private,32921
66,?,52728
44,Private,367749
31,Private,336543
32,State-gov,542265
69,Self-emp-not-inc,227906
38,Private,43311
41,Private,204415
28,Private,215014
19,Private,222866
50,Private,400004
33,Private,150324
56,Private,288530
47,Private,187563
40,Private,200574
28,Self-emp-not-inc,183151
32,Private,107435
28,Private,251905
23,State-gov,89285
34,Private,213722
30,Private,77143
25,Self-emp-inc,163039
31,Private,124827
41,Private,106900
43,Private,113324
22,Private,117606
66,Self-emp-not-inc,34218
44,Private,160323
21,Private,392082
36,Private,225172
35,Private,151835
30,Self-emp-not-inc,255424
66,?,212759
52,Private,164530
21,Private,131811
43,Private,167151
21,Private,180339
23,Private,107190
48,Private,49278
58,State-gov,159021
57,Self-emp-inc,37345
54,Self-emp-not-inc,124865
64,Private,92115
39,Private,151023
32,Self-emp-not-inc,114419
31,Private,25955
36,Private,199947
39,Self-emp-not-inc,134475
62,Private,202242
36,Local-gov,103886
26,Private,90980
39,Private,188069
39,Private,230467
18,Private,212370
44,Private,143939
22,Private,117363
34,Local-gov,169708
24,Private,537222
37,Private,105044
26,Local-gov,314798
45,Self-emp-not-inc,155489
34,Private,208785
28,Private,278736
38,Private,239397
34,Self-emp-inc,175761
26,Private,86872
31,Private,128065
36,Private,61178
41,Private,243607
39,Private,74163
42,Private,112607
35,Private,361888
39,State-gov,126894
51,Private,85942
47,Local-gov,198660
35,Private,407913
52,Private,102444
48,Private,155664
36,Self-emp-not-inc,84294
30,Private,103596
28,Private,219863
36,Federal-gov,20469
52,Self-emp-not-inc,183146
29,Private,30070
37,Private,143771
22,Private,363219
29,Private,152951
32,Private,154087
22,Private,332194
33,Private,181824
66,Private,140576
53,Private,285621
40,Federal-gov,78036
39,Private,120074
20,Private,379198
17,Private,32607
32,Private,317378
50,Private,392668
28,Private,61435
43,Private,222596
31,Local-gov,356689
63,Private,43313
44,Self-emp-not-inc,53956
29,Private,174163
49,Self-emp-not-inc,275845
66,Private,207917
22,Private,351952
23,?,62507
32,Private,108247
34,Private,235124
26,Private,106548
36,Private,469056
21,?,205939
49,Private,82572
19,Private,501144
70,?,92593
37,Self-emp-inc,111128
34,Self-emp-not-inc,353881
36,State-gov,235779
50,Self-emp-not-inc,324506
56,Self-emp-inc,258883
42,Self-emp-not-inc,54583
38,Private,338320
54,Private,340476
27,Private,37088
44,Private,106900
52,Private,122412
27,Self-emp-not-inc,229126
32,Federal-gov,113838
48,Private,156926
37,Private,212826
26,Private,177635
62,Private,96099
24,Private,117606
65,Private,180807
39,Self-emp-not-inc,231180
44,Private,181762
55,Private,109075
42,Self-emp-not-inc,133584
38,Private,268893
39,Local-gov,177907
31,Private,106437
29,Local-gov,187981
43,Federal-gov,92775
17,Private,262031
19,Private,376683
58,Self-emp-not-inc,129786
47,Self-emp-not-inc,191175
24,Private,280960
42,Private,141186
19,?,180395
25,Private,254746
25,Private,242700
23,Private,162282
26,Private,430195
55,Private,171015
44,Private,56651
20,?,206671
42,Private,136986
38,Private,278924
25,Private,102460
35,Private,130540
39,Private,281768
42,Private,254773
46,Private,273629
38,Private,195744
49,Private,186256
24,Private,152724
39,Private,48915
45,Self-emp-not-inc,26781
24,Private,192766
57,State-gov,32694
43,Private,48193
26,Private,375499
38,Private,199256
26,Private,61603
50,Private,123429
23,Private,124971
33,Private,252340
29,Private,138190
33,Private,204780
70,Private,573446
52,Private,164135
21,Private,154235
65,?,221881
25,Private,307643
40,Private,54102
28,Private,203776
19,Private,98605
52,Private,276515
74,Local-gov,214514
53,Private,271918
38,State-gov,22245
27,State-gov,162312
48,Local-gov,383384
39,Local-gov,149833
31,Private,234500
53,State-gov,227392
65,?,76131
53,Private,97411
46,?,37672
44,Private,212894
23,Private,37894
30,Private,318749
32,Private,226883
49,Private,31264
26,Private,276624
30,Private,229636
69,Self-emp-inc,182451
63,Private,114011
70,?,97831
31,Private,145924
36,State-gov,166697
66,?,188686
36,Local-gov,192337
35,Private,24126
46,State-gov,273771
52,Private,204447
48,Self-emp-not-inc,52240
26,Private,29957
44,Private,226129
38,Private,32271
33,Private,155198
35,State-gov,372130
28,Private,198258
57,Self-emp-not-inc,50791
45,Self-emp-not-inc,28119
54,Local-gov,279881
35,Private,111377
58,Private,118303
61,Local-gov,149981
62,Self-emp-not-inc,120939
66,Private,117746
29,Private,34292
22,Private,197838
28,Private,220656
22,Private,125010
75,Self-emp-inc,152519
49,Private,248895
31,Self-emp-not-inc,145714
37,Self-emp-inc,116554
28,Private,319768
37,Private,261241
20,Private,182661
43,Private,234220
19,Private,222445
21,Private,211968
57,Private,342906
44,Self-emp-not-inc,219591
29,Private,221977
48,?,289517
21,Private,306967
47,Local-gov,150211
71,?,116165
41,Private,144460
46,Private,383384
18,?,214989
37,Self-emp-not-inc,243587
32,Private,161075
32,Self-emp-not-inc,400061
48,Local-gov,195416
42,Private,188561
57,State-gov,141459
79,Private,149912
59,Private,171242
33,Private,174789
40,Private,105794
45,Private,341995
32,Private,93283
27,Private,138269
32,Federal-gov,174215
37,Private,160192
59,Local-gov,147707
61,Private,69867
47,Local-gov,251588
66,Private,166461
61,?,195789
34,State-gov,92531
45,Private,27332
46,Private,37718
38,Private,402522
24,?,41356
48,Self-emp-not-inc,328606
52,Self-emp-inc,234286
44,State-gov,150755
57,Self-emp-not-inc,192869
28,Private,144063
27,Private,249315
22,Private,121471
30,State-gov,343789
39,Private,82726
54,Self-emp-not-inc,99902
36,Private,309122
35,Private,46385
40,State-gov,34218
58,Private,203735
47,Private,166634
42,Private,227397
68,Self-emp-not-inc,197015
53,Private,102615
66,Private,123484
71,?,94314
20,Private,227943
41,Self-emp-not-inc,366483
36,Private,126954
48,Private,126441
49,Private,185041
39,Private,233428
41,Private,308296
53,Local-gov,188772
57,State-gov,25045
53,Self-emp-not-inc,100109
53,Self-emp-not-inc,67198
51,Private,82578
68,Local-gov,159643
70,Private,235781
29,Private,255187
29,Private,107812
58,Private,280309
56,Private,359972
27,Private,62737
51,Private,122533
54,Self-emp-not-inc,72257
39,Private,373699
34,Private,222130
46,?,81136
44,Private,178385
22,Private,304710
44,Self-emp-inc,148805
61,Private,208919
32,Local-gov,409282
75,State-gov,113868
31,Self-emp-not-inc,109195
51,Private,289572
30,Private,184435
31,Local-gov,197550
21,Private,230229
50,Private,138022
53,Private,152883
39,Private,114079
39,Private,98776
33,Private,142383
63,Self-emp-inc,80572
45,Private,168837
48,Private,162816
29,Private,444304
43,Private,456236
31,Private,38158
31,Private,208657
31,Private,106753
72,Private,103990
33,Private,188403
42,Private,220531
58,Private,141379
30,Private,206046
51,Private,122159
27,Private,263728
52,Private,126978
55,Local-gov,85001
39,Local-gov,229651
27,Self-emp-inc,89718
24,Self-emp-inc,142404
55,Private,123436
30,Local-gov,44566
47,Private,162187
31,State-gov,557853
29,Private,413297
36,Private,30267
21,Private,237651
33,Local-gov,120064
64,Self-emp-inc,169072
46,Federal-gov,35136
47,Local-gov,149700
38,Private,237943
42,Private,52781
37,Private,77820
51,?,117847
32,Private,63564
20,Private,117767
62,Private,217434
48,Private,192791
24,Private,190015
46,Private,165138
30,Private,164190
44,Local-gov,174575
23,Private,64292
75,Private,316119
28,Private,173649
26,?,370727
47,Local-gov,191389
22,Private,369387
67,?,63552
19,?,199609
43,Private,354408
55,Private,188917
40,Private,390369
76,Self-emp-not-inc,130585
37,Private,148015
37,Private,103121
36,Federal-gov,403489
36,Private,22494
56,Private,98418
60,Private,124987
45,Private,31339
37,Private,32528
39,Private,214117
32,Federal-gov,42900
81,Private,106390
29,Private,239753
24,Private,228960
68,?,188102
18,?,233136
22,Private,176178
52,Self-emp-not-inc,174752
43,Private,161240
47,Private,101299
23,Private,117767
26,Private,51961
24,Private,251603
47,Federal-gov,198223
29,?,108126
22,Private,207969
31,Private,339738
35,Private,245372
25,Private,259715
46,Private,122026
30,Private,19302
50,Private,189811
43,Federal-gov,211450
54,Self-emp-not-inc,46704
58,Self-emp-not-inc,130714
27,Private,131712
50,Private,207367
61,Private,123273
32,Private,199416
30,Private,252752
30,Self-emp-inc,127651
31,State-gov,110714
63,Federal-gov,95680
34,Private,182918
54,Private,307973
23,Private,549349
52,Private,273514
57,Private,201991
22,Private,120518
57,Private,110820
35,Private,113481
47,Private,185870
54,Private,317733
30,Private,173858
38,Self-emp-not-inc,243484
52,Private,190762
46,Private,185870
19,Private,164123
38,Self-emp-not-inc,179481
32,State-gov,171111
54,Private,191072
24,Private,88824
51,Local-gov,240358
41,Self-emp-not-inc,200479
20,Private,184779
36,Private,41624
25,Self-emp-inc,110010
19,Private,188669
25,Private,178478
30,Federal-gov,319280
44,Private,74680
21,?,170038
59,Private,217747
29,Private,194640
49,Federal-gov,110373
20,Private,196758
36,Private,111545
69,Self-emp-not-inc,107548
37,Self-emp-not-inc,241998
32,Private,227321
18,?,184101
24,Local-gov,150084
28,Private,31778
37,Private,20308
59,?,168079
23,Private,156513
26,Private,142226
37,Self-emp-inc,347491
31,Private,165949
46,State-gov,87018
47,State-gov,118447
21,?,301853
40,Private,175696
37,Private,305259
23,Private,320294
17,?,262196
32,Private,196342
39,Private,208778
31,Private,117507
26,Local-gov,150226
30,Local-gov,178383
33,Self-emp-inc,40444
35,Private,107125
36,Private,188834
20,Private,230891
67,State-gov,261203
43,Private,211860
24,Self-emp-inc,234663
28,Private,108574
28,Private,271572
17,Private,187308
37,Private,82622
50,Private,289390
42,Private,36296
19,Private,37085
39,Private,252327
42,Private,319588
36,?,157278
35,Private,290226
48,Private,240917
32,Private,160458
38,Self-emp-inc,257250
31,Private,303851
38,Private,374983
31,Private,176244
19,Private,210364
54,Private,68985
50,Private,594521
19,?,117201
23,Private,273010
24,Private,214555
20,Private,117109
38,Private,189623
62,Local-gov,206063
29,?,153167
22,Private,291979
28,Federal-gov,236418
28,Private,149769
51,Private,176969
56,Private,98630
58,Private,204678
19,Private,35865
36,Private,169926
42,Private,156580
21,Private,252253
33,?,193172
43,Private,191765
32,Federal-gov,402361
69,State-gov,208869
39,Private,200598
47,Private,28035
32,State-gov,19513
20,Local-gov,247794
28,Private,222442
41,Private,310255
37,Private,206699
18,Private,143450
31,Private,255004
25,Federal-gov,55636
60,Private,23336
41,Private,40151
55,Self-emp-not-inc,477867
41,Self-emp-not-inc,263871
71,Private,99894
47,Private,165517
21,State-gov,341410
23,Private,201490
58,?,141409
33,Private,186977
50,Private,82566
40,Local-gov,225660
81,Private,184615
33,Private,154120
31,Private,198513
29,Federal-gov,31161
39,Local-gov,327164
50,Private,43764
20,Private,152189
39,Federal-gov,30916
22,Private,221745
26,?,152046
46,Private,360593
45,State-gov,226452
50,Private,139464
32,Local-gov,178107
37,Local-gov,76845
17,?,143331
27,Private,209292
18,State-gov,109445
28,Local-gov,168524
51,Private,392286
23,Private,200089
50,Self-emp-not-inc,198581
72,?,195181
18,?,266287
24,?,247734
48,Private,267912
67,Private,120900
60,State-gov,27037
64,State-gov,417543
60,Private,296485
31,Private,286675
63,Self-emp-not-inc,28612
40,Private,235786
56,Private,311249
60,Self-emp-not-inc,376973
40,Local-gov,180123
43,Private,393354
49,Private,122066
28,Private,203171
56,Private,76281
21,Private,161051
48,Self-emp-not-inc,97883
56,Private,191330
29,Private,214881
48,?,175653
36,Private,133569
41,Federal-gov,185616
27,Private,240172
33,Private,260560
20,Private,139989
37,Federal-gov,194630
27,Private,85625
73,Self-emp-not-inc,151255
56,?,174533
46,Private,104632
31,Private,201292
53,Private,47396
23,Private,53245
47,Private,328216
17,Private,117549
21,Private,160968
63,Private,164435
29,Private,535978
30,Private,163867
26,Private,216741
59,Self-emp-inc,125000
36,Private,31438
28,Private,159001
46,Private,276087
21,Private,148444
27,Private,416946
59,Private,169560
30,Private,332975
44,Private,199031
35,Private,102976
30,Self-emp-not-inc,609789
54,Self-emp-inc,124963
28,Private,165030
30,Private,187279
52,Private,236222
74,Private,322789
52,Private,53497
33,Local-gov,242150
23,Private,103632
31,Private,179186
34,Self-emp-inc,343789
33,Self-emp-not-inc,202729
37,Private,176949
61,Private,215789
18,Private,126021
43,Private,115932
38,Private,119177
17,Local-gov,192387
31,Private,248178
45,Private,38240
23,Private,174461
49,Local-gov,123088
43,Self-emp-not-inc,73883
36,Private,169426
46,Private,273796
18,Private,110142
34,Private,263908
21,Private,60639
30,Self-emp-not-inc,347166
20,Private,117789
20,Private,115057
69,Self-emp-not-inc,118174
37,Self-emp-not-inc,82540
48,Private,175662
56,Private,367984
41,Private,347653
25,Private,64671
41,Private,204046
35,State-gov,126569
26,Self-emp-not-inc,219897
25,State-gov,104097
29,Private,126208
30,Private,255885
36,Private,247600
34,Private,182218
49,Local-gov,343231
29,Private,231601
50,Private,104729
31,Private,194293
37,Private,30267
51,?,43909
32,Private,154950
43,Self-emp-not-inc,147099
38,Local-gov,94529
19,Without-pay,344858
47,Local-gov,232149
24,Private,356861
62,Self-emp-inc,153891
18,Private,156874
57,?,179644
45,Federal-gov,179638
49,Self-emp-not-inc,225456
46,Private,208872
44,Private,171424
40,Private,163342
35,Private,37314
53,Private,89400
35,Private,225860
23,Private,256755
65,Private,266828
19,Private,97261
31,Private,189759
43,Local-gov,487770
36,Local-gov,142573
53,Private,135840
55,Private,213894
34,Federal-gov,112115
54,Private,133403
28,Private,206889
31,State-gov,195181
25,Self-emp-not-inc,305449
48,Self-emp-inc,149218
56,Private,140136
41,Local-gov,248406
45,Private,421412
27,Private,217379
49,Private,143459
23,Private,200973
40,Private,257364
33,Private,245378
27,Private,411950
39,Private,98941
45,State-gov,81853
61,Private,298400
35,Private,70447
34,State-gov,238944
59,?,43103
58,Private,310320
34,Private,111567
28,Self-emp-not-inc,209934
26,Self-emp-not-inc,231714
57,Local-gov,52267
43,Private,52498
37,Private,163392
37,Private,147258
63,Private,163708
47,Private,118729
45,Self-emp-not-inc,247053
22,Private,188544
20,State-gov,205895
50,Private,343847
20,Private,197767
25,Private,226802
44,Private,69236
58,Private,147989
23,Private,214542
25,Private,126133
34,Private,116677
47,Private,155107
52,Private,155233
40,Private,224232
40,Private,365986
54,Private,171924
31,State-gov,358461
65,Private,220788
50,Local-gov,139296
52,Federal-gov,297906
36,Private,102568
29,Private,27436
37,Private,186934
45,Federal-gov,106910
59,Private,284834
42,Private,482211
32,Private,339482
28,Self-emp-inc,37088
26,Private,192022
33,Self-emp-not-inc,294434
31,?,37030
35,Private,181353
54,State-gov,187686
28,Private,291789
28,Private,299422
44,Self-emp-not-inc,38122
25,Private,165817
18,Private,318082
42,Private,135056
64,Private,278585
21,Private,198050
38,State-gov,239539
38,Self-emp-inc,312232
20,Private,436253
46,Private,423222
52,State-gov,32372
25,Private,209970
21,Private,129980
39,Private,333305
41,State-gov,175537
63,Local-gov,379940
58,Private,201344
54,Private,244770
26,Private,188767
23,Private,200967
67,Self-emp-inc,330144
47,Private,185254
71,Private,212806
19,Private,228577
39,Private,141029
22,Private,148431
41,Private,176452
51,Private,351416
21,Private,214387
30,Local-gov,289442
44,?,177461
76,Private,152839
22,Private,137320
25,State-gov,261979
30,Local-gov,44566
47,Local-gov,101016
23,Local-gov,254127
49,Local-gov,159641
41,Private,106627
41,Private,233955
46,Private,151584
46,Private,353824
21,Private,212407
31,Private,271933
39,Private,193689
26,Private,303973
40,Local-gov,26671
28,Self-emp-not-inc,70100
42,Private,261929
47,Private,205730
27,Private,367390
26,Local-gov,120238
56,Self-emp-not-inc,296991
41,Private,204410
25,?,35829
21,Private,30619
41,Self-emp-not-inc,201908
67,?,157403
31,Private,206046
59,Private,168416
17,?,171461
27,Federal-gov,188343
17,?,183161
30,Local-gov,40338
24,Private,275395
32,Private,30497
32,Private,159442
63,Private,151364
45,Private,55272
64,Self-emp-inc,195366
37,Self-emp-not-inc,33975
24,Private,195808
24,Private,233280
41,Private,55854
51,Local-gov,88120
58,?,169329
20,Private,205839
47,Self-emp-not-inc,159399
55,Self-emp-not-inc,157486
46,Private,176026
30,Private,112358
26,State-gov,169323
34,Private,34572
23,Private,326587
29,Self-emp-not-inc,162312
40,?,438427
64,Private,164204
41,Local-gov,129060
45,Private,178319
47,Self-emp-not-inc,182752
39,Private,126494
39,Private,127573
22,Private,615367
56,Private,193453
45,Private,34307
28,Private,268726
40,Federal-gov,406463
23,Private,291011
20,Private,219266
49,Private,149337
39,Private,294183
47,Private,140045
44,Private,214546
60,Private,141253
37,Private,125550
33,Private,226267
33,Private,321787
74,?,340939
48,Private,215895
41,Self-emp-not-inc,197176
65,?,194920
21,Private,198259
26,Private,284250
26,Private,211695
23,Private,108307
33,State-gov,313729
18,Private,150817
24,Private,176566
24,Private,185821
43,Federal-gov,192712
52,Private,113843
44,Private,160323
45,Federal-gov,45891
37,Federal-gov,75073
29,Private,168479
36,Private,280169
39,State-gov,102729
29,Private,80179
35,Private,239755
37,Private,245482
35,Federal-gov,245372
43,Self-emp-not-inc,193459
52,Private,114674
66,Private,185336
38,Private,229009
55,State-gov,117357
40,Self-emp-not-inc,151504
25,Local-gov,179059
32,State-gov,111567
18,Private,210026
44,Private,167005
50,Private,160572
46,Private,295791
40,Self-emp-inc,144371
36,Private,84306
27,Private,69132
36,Private,361888
19,?,62534
38,Private,351299
22,Federal-gov,277700
38,State-gov,462832
39,Private,231491
51,Private,106151
32,Self-emp-not-inc,62272
46,Private,42251
74,State-gov,236012
36,Private,183892
41,Private,353541
46,Private,45288
62,Private,214288
29,Private,196116
49,Private,272780
31,Private,183043
50,Private,305319
28,Private,143582
21,Private,208503
41,Private,173981
33,Private,66384
53,Self-emp-inc,96062
50,State-gov,242517
19,Private,427862
23,Private,34918
52,Local-gov,91689
28,Private,196564
32,Private,321313
40,Private,96055
29,Private,178469
20,?,203992
35,Private,186009
20,?,243981
38,Self-emp-not-inc,423616
28,Private,209205
52,Private,99307
57,Local-gov,121111
40,?,78255
39,Private,277886
77,?,185426
20,Private,223921
23,Private,60668
37,Private,301614
38,Private,187748
43,Private,62857
70,Private,102610
25,Private,144516
26,Federal-gov,169101
35,Private,339772
63,Federal-gov,101996
69,?,476653
43,Private,134120
31,Private,156763
49,Private,268234
27,Local-gov,223529
52,Federal-gov,277772
51,State-gov,77905
44,Private,174283
23,Private,122797
28,?,190303
39,Local-gov,112284
39,Private,56962
64,Private,183672
32,Private,198901
23,Private,218215
39,Private,370585
35,?,202683
62,?,266037
19,Private,236570
56,Private,206399
20,State-gov,39478
22,?,320451
71,Self-emp-not-inc,322789
44,Self-emp-inc,311357
45,Private,155489
51,Self-emp-not-inc,32372
22,?,261881
42,Local-gov,267138
49,Private,213431
34,Local-gov,63338
51,Self-emp-not-inc,194259
38,Self-emp-not-inc,331374
45,Private,59380
45,Private,182703
45,Self-emp-inc,120131
58,Self-emp-not-inc,154537
40,Private,173607
21,Private,195248
50,State-gov,133014
67,Self-emp-not-inc,107138
41,Self-emp-inc,130126
68,Private,192829
25,Private,378322
36,Private,156400
17,Private,158762
62,?,123992
18,Private,404085
48,Private,36228
65,Local-gov,254413
33,Private,132832
26,?,104756
34,Self-emp-not-inc,203051
34,Private,160216
22,Private,203182
41,State-gov,283917
38,Federal-gov,99280
23,Private,213902
33,Private,198211
36,Private,115700
35,Local-gov,185769
31,Private,33124
25,Private,253267
28,Private,184806
43,Private,158926
38,Private,217349
26,Private,223558
62,Private,165827
21,Private,309348
32,Private,137875
55,Private,101468
55,Private,236520
40,Private,126845
48,Private,350440
21,Private,33884
26,Private,414916
29,Private,194864
24,Private,254293
30,Private,174215
31,Private,59469
44,Private,198282
46,Federal-gov,125892
24,Private,354691
23,Private,213115
37,Private,138441
27,Private,128365
43,Local-gov,193755
34,Private,204052
43,Self-emp-inc,188436
50,Private,209464
31,Private,144949
53,Federal-gov,40641
22,Private,99697
33,Private,279231
46,Private,155659
37,Local-gov,116736
22,Private,251073
29,Private,119004
56,Private,178282
39,Private,67317
37,Private,285637
50,Private,209320
41,Private,124692
80,?,91901
40,Private,94210
34,Private,186824
58,Private,49893
29,Private,142712
27,Private,212041
41,Self-emp-not-inc,274158
40,State-gov,174283
28,Private,402771
90,Private,51744
56,Private,146326
20,Private,218215
42,Private,99373
48,Private,194772
24,?,164574
48,Private,149210
54,Private,100933
21,Private,457162
22,Private,115892
36,Private,127809
18,Private,245199
25,Private,310545
52,Private,163776
34,Self-emp-inc,154227
42,Private,136986
19,Private,143404
54,Self-emp-inc,103794
42,Self-emp-not-inc,200574
38,State-gov,314052
25,State-gov,194954
36,Private,214031
30,Private,187203
56,Self-emp-inc,236676
24,Private,249957
37,Private,97925
58,Self-emp-inc,78634
48,Local-gov,123075
18,Private,87157
63,Private,100099
35,Private,455469
46,State-gov,312015
28,Self-emp-not-inc,183523
28,Private,212068
30,Private,159187
36,Private,247750
50,Federal-gov,306707
42,State-gov,138162
49,Private,50748
19,?,47713
75,?,125784
26,?,102400
30,Private,460408
18,Self-emp-inc,119422
46,Self-emp-not-inc,225065
45,State-gov,127089
24,Private,109414
37,Private,109472
61,Private,159046
59,Self-emp-not-inc,31137
43,Private,162108
42,Private,183319
49,Private,125421
47,Private,104301
24,Private,189749
30,Self-emp-not-inc,437458
61,Private,128230
51,Private,35576
51,State-gov,103063
25,Private,96862
21,Private,162688
24,Private,130741
46,Private,224314
46,Federal-gov,349230
27,Private,198188
19,Private,248600
22,Private,341760
39,Private,367020
46,Private,169699
69,?,163595
37,Private,224886
28,Private,82531
33,Private,93034
23,Private,198861
36,Private,41490
49,Private,123584
26,Private,206721
48,Private,344381
41,Local-gov,107327
41,Local-gov,307767
37,State-gov,24342
48,Private,125892
75,Private,256474
42,Private,112451
47,Private,159550
29,Local-gov,116751
19,Private,183041
56,Private,285730
59,Local-gov,176118
48,Private,48885
44,Private,106900
55,Private,140063
29,Private,245402
36,Self-emp-inc,216711
67,Private,49401
25,Private,177221
56,Private,157639
40,Private,205195
22,Private,197050
38,Private,207568
19,Private,302945
56,Private,169560
47,Private,193061
51,Private,115025
44,Private,201495
20,Private,30035
26,Private,98155
36,Self-emp-not-inc,164526
62,Self-emp-inc,24050
27,Private,110648
21,Private,209067
50,Private,271493
25,Private,38488
33,Private,292465
45,Private,144579
54,Private,178530
29,Local-gov,376302
22,Private,239806
59,Private,226922
35,Private,200117
36,Private,143068
45,Local-gov,162187
48,Private,161187
31,Local-gov,164243
19,State-gov,149528
39,Private,126675
